cost_id,date,category,subcategory,amount,currency,vendor,department,budget_allocated,approval_status,payment_status,invoice_number
COST00184,2024-10-06,Staff Salaries,Sub-StaffSalaries-3,176937.31,USD,Clinical Solutions Ltd,Reproductive Endocrinology,224989.82,Approved,Paid,INV9703-5017
COST00185,2024-03-21,Pharmaceuticals,Sub-Pharmaceuticals-1,9210.17,USD,,Nursing,7698.31,Approved,Due,INV9702-6463
COST00186,2024-10-12,IT Support,Sub-ITSupport-3,9733.29,USD,BioMed Corp,Andrology,10188.97,Approved,Paid,INV2051-4640
COST00187,2024-02-13,Utilities,Sub-Utilities-5,3662.41,USD,Medical Devices Inc,Ultrasound,2996.39,Approved,Paid,INV1876-6814
COST00188,2024-10-14,Insurance,Sub-Insurance-3,11595.55,USD,MedTech Solutions,Nursing,15828.87,Approved,Paid,INV5498-9059
COST00189,2024-01-14,Equipment Maintenance,Sub-EquipmentMaintenance-1,13652.83,USD,,Andrology,19137.98,Approved,Paid,INV3029-6174
COST00190,2024-12-03,Marketing,Sub-Marketing-4,3938.48,USD,Health Systems Pro,Ultrasound,5147.61,Pending,Paid,INV7366-8910
COST00191,2024-03-20,Pharmaceuticals,Sub-Pharmaceuticals-4,5660.8,USD,Healthcare Innovations,Surgery,8076.92,Approved,Paid,INV8155-2769
COST00192,2024-10-01,Marketing,Sub-Marketing-5,6976.68,USD,MedTech Solutions,Embryology Lab,9370.6,Approved,Due,INV8584-7964
COST00193,2024-06-22,Marketing,Sub-Marketing-1,3070.91,USD,Advanced Medical Systems,Andrology,3923.29,Approved,Paid,
COST00194,2025-07-28,Training,Sub-Training-3,9771.51,USD,,Embryology Lab,14345.85,Approved,Paid,INV7039-8222
COST00195,2024-01-03,Marketing,Sub-Marketing-3,17315.49,USD,Medical Devices Inc,Andrology,19911.86,Approved,Paid,INV5371-6515
COST00196,2025-05-06,Medical Supplies,Sub-MedicalSupplies-5,5012.64,USD,Health Systems Pro,Embryology Lab,4709.98,Pending,Paid,INV9105-5454
COST00197,2024-11-16,Utilities,Sub-Utilities-1,12853.48,USD,MedTech Solutions,Nursing,16626.95,Approved,Paid,
COST00198,2024-05-29,Training,Sub-Training-5,7561.61,USD,BioMed Corp,Embryology Lab,8342.02,Approved,Due,INV2795-6054
COST00199,2024-09-05,Utilities,Sub-Utilities-3,812.25,USD,Clinical Solutions Ltd,Surgery,652.83,Approved,Paid,INV3945-8922
COST00200,2024-05-09,Rent/Lease,Sub-Rent/Lease-5,8101.58,USD,Precision Healthcare,Embryology Lab,7303.4,Approved,Due,INV6415-3501
COST00201,2024-12-22,Staff Salaries,Sub-StaffSalaries-5,127924.39,USD,Clinical Solutions Ltd,Counseling,177697.99,Approved,Due,INV2735-8306
COST00202,2024-03-22,Medical Supplies,Sub-MedicalSupplies-2,4690.44,USD,,Andrology,6778.89,Pending,Paid,INV4105-7994
COST00203,2025-03-30,Staff Salaries,Sub-StaffSalaries-3,565345.7995286025,USD,Medical Devices Inc,Surgery,659730.85,Approved,Paid,INV8790-6849
COST00204,2024-02-15,Rent/Lease,Sub-Rent/Lease-5,15907.64,USD,Healthcare Innovations,Embryology Lab,13933.23,Pending,Paid,INV4696-9392
COST00205,2024-08-21,IT Support,Sub-ITSupport-2,8334.4,USD,Healthcare Innovations,Counseling,12313.13,Approved,Due,INV7870-3883
COST00206,2025-10-08,Insurance,Sub-Insurance-1,10387.64,USD,Medical Devices Inc,Andrology,15467.03,Approved,Paid,INV7243-1801
COST00207,2024-01-02,Equipment Maintenance,Sub-EquipmentMaintenance-1,3336.53,USD,MedTech Solutions,Andrology,4256.79,Approved,Paid,INV9784-4571
COST00208,2024-04-25,IT Support,Sub-ITSupport-2,8050.84,USD,Advanced Medical Systems,Andrology,8803.08,Approved,Paid,INV2178-5333
COST00209,2024-06-07,Utilities,Sub-Utilities-3,1339.32,USD,MedTech Solutions,Ultrasound,1626.84,Approved,Due,INV9933-5087
COST00210,2024-05-01,Pharmaceuticals,Sub-Pharmaceuticals-3,13903.58,USD,Healthcare Innovations,Embryology Lab,12595.99,Approved,Overdue,INV9812-5808
COST00211,2025-04-15,Equipment Maintenance,Sub-EquipmentMaintenance-4,40173.12,USD,BioMed Corp,Nursing,42172.13,Rejected,Paid,INV3971-6889
COST00212,2024-11-20,Medical Supplies,Sub-MedicalSupplies-3,38039.07,USD,BioMed Corp,Surgery,51484.65,Approved,Due,INV6298-8731
COST00213,2024-04-18,Insurance,Sub-Insurance-5,3875.68,USD,Health Systems Pro,Nursing,3990.16,Approved,Paid,INV3947-9468
COST00214,2024-11-18,Equipment Maintenance,Sub-EquipmentMaintenance-5,22815.4,USD,Precision Healthcare,Andrology,20301.4,Approved,Paid,INV4709-2320
COST00215,2025-03-15,Insurance,Sub-Insurance-1,17534.36,USD,Precision Healthcare,Surgery,14276.8,Pending,Paid,INV4005-7662
COST00216,2025-03-01,Rent/Lease,Sub-Rent/Lease-4,12374.74,USD,,Ultrasound,17155.11,Approved,Paid,INV1518-7016
COST00217,2025-01-15,Rent/Lease,Sub-Rent/Lease-5,7910.12,USD,Medical Devices Inc,Embryology Lab,11665.97,Rejected,Paid,INV2893-8133
COST00218,2024-12-13,Utilities,Sub-Utilities-3,2716.76,USD,Healthcare Innovations,Surgery,3907.53,Pending,Paid,INV4099-9413
COST00219,2025-06-18,Pharmaceuticals,Sub-Pharmaceuticals-3,15409.67,USD,Advanced Medical Systems,Nursing,23002.94,Approved,Paid,INV6584-3807
COST00220,2024-07-25,Training,Sub-Training-1,14843.35,USD,,Surgery,16847.3,Approved,Paid,INV2987-6396
COST00221,2025-05-31,Marketing,Sub-Marketing-4,15115.39,USD,Precision Healthcare,Reproductive Endocrinology,21700.72,Approved,Paid,INV8320-3658
COST00222,2025-02-05,Marketing,Sub-Marketing-3,88473.95640936018,USD,Clinical Solutions Ltd,Counseling,109745.19,Pending,Paid,INV5497-1545
COST00223,2024-03-05,Rent/Lease,Sub-Rent/Lease-5,8799.23,USD,MedTech Solutions,Nursing,8310.4,Rejected,Paid,INV6458-7514
COST00224,2024-12-24,Rent/Lease,Sub-Rent/Lease-2,17742.26,USD,MedTech Solutions,Ultrasound,14382.35,Approved,Paid,INV5409-7877
COST00225,2024-01-25,Rent/Lease,Sub-Rent/Lease-2,1054.32,USD,Precision Healthcare,Reproductive Endocrinology,1193.9,Approved,Paid,
COST00226,2025-10-17,Medical Supplies,Sub-MedicalSupplies-2,3126.74,USD,Precision Healthcare,Embryology Lab,4592.62,Approved,Paid,INV6077-9483
COST00227,2024-08-30,IT Support,Sub-ITSupport-5,10763.68,USD,Health Systems Pro,Ultrasound,11085.86,Approved,Paid,INV9449-9039
COST00228,2025-03-27,Medical Supplies,Sub-MedicalSupplies-3,36022.93,USD,Clinical Solutions Ltd,Nursing,47648.08,Pending,Paid,
COST00229,2024-03-27,Equipment Maintenance,Sub-EquipmentMaintenance-4,32425.52,USD,MedTech Solutions,Counseling,44464.02,Approved,Paid,INV6813-9489
COST00230,2024-02-25,Training,Sub-Training-2,7374.51,USD,,Andrology,6944.85,Approved,Paid,
COST00231,2024-09-03,Rent/Lease,Sub-Rent/Lease-3,16912.65,USD,MedTech Solutions,Andrology,25146.72,Approved,Paid,INV2117-6974
COST00232,2024-01-21,Pharmaceuticals,Sub-Pharmaceuticals-2,562.87,USD,Medical Devices Inc,Andrology,557.94,Approved,Paid,INV3052-6143
COST00233,2024-07-13,Medical Supplies,Sub-MedicalSupplies-3,36356.12,USD,Healthcare Innovations,Andrology,31899.79,Approved,Paid,INV7785-5518
COST00234,2024-12-25,Staff Salaries,Sub-StaffSalaries-3,53854.68,USD,Clinical Solutions Ltd,Ultrasound,80354.8,Rejected,Due,INV7524-9883
COST00235,2024-01-31,Staff Salaries,Sub-StaffSalaries-4,108894.84,USD,Advanced Medical Systems,Nursing,101913.08,Approved,Due,INV1659-3436
COST00236,2025-02-02,Training,Sub-Training-2,16933.76,USD,Advanced Medical Systems,Counseling,23522.3,Pending,Paid,INV9353-2161
COST00237,2025-07-26,Training,Sub-Training-5,9434.82,USD,Precision Healthcare,Reproductive Endocrinology,8090.44,Approved,Overdue,INV8923-4945
COST00238,2025-08-16,Pharmaceuticals,Sub-Pharmaceuticals-5,14169.65,USD,Healthcare Innovations,Reproductive Endocrinology,14197.81,Approved,Due,
COST00239,2024-04-20,Staff Salaries,Sub-StaffSalaries-1,151108.47,USD,Clinical Solutions Ltd,Embryology Lab,188435.73,Approved,Paid,INV4555-5661
COST00240,2024-01-19,IT Support,Sub-ITSupport-2,77567.57666258927,USD,Advanced Medical Systems,Counseling,89738.54,Approved,Paid,INV9989-2947
COST00241,2025-07-11,Marketing,Sub-Marketing-3,12481.76,USD,BioMed Corp,Counseling,10358.62,Pending,Overdue,
COST00242,2024-03-17,Training,Sub-Training-2,10492.25,USD,Advanced Medical Systems,Embryology Lab,14237.44,Approved,Paid,INV2713-2597
COST00243,2025-08-24,Staff Salaries,Sub-StaffSalaries-1,145700.35,USD,Medical Devices Inc,Nursing,139463.71,Pending,Paid,INV5260-6508
COST00244,2025-01-17,Medical Supplies,Sub-MedicalSupplies-3,37655.13,USD,MedTech Solutions,Ultrasound,48491.72,Approved,Paid,INV2778-2160
COST00245,2024-02-25,IT Support,Sub-ITSupport-3,10876.26,USD,Advanced Medical Systems,Embryology Lab,14648.44,Approved,Due,
COST00246,2024-02-28,Pharmaceuticals,Sub-Pharmaceuticals-3,5485.73,USD,Precision Healthcare,Embryology Lab,6348.04,Approved,Paid,
COST00247,2024-12-06,Rent/Lease,Sub-Rent/Lease-3,7502.03,USD,MedTech Solutions,Surgery,9297.56,Rejected,Paid,INV5987-5346
COST00248,2024-06-17,Rent/Lease,Sub-Rent/Lease-2,3304.29,USD,Clinical Solutions Ltd,Reproductive Endocrinology,4521.82,Approved,Paid,INV5466-2767
COST00249,2024-10-07,IT Support,Sub-ITSupport-5,2415.69,USD,Precision Healthcare,Embryology Lab,2560.36,Approved,Paid,INV6504-4604
COST00250,2025-06-22,Equipment Maintenance,Sub-EquipmentMaintenance-1,49789.81,USD,MedTech Solutions,Reproductive Endocrinology,73465.89,Approved,Paid,INV3121-4830
COST00251,2025-08-30,Medical Supplies,Sub-MedicalSupplies-2,11187.78,USD,Healthcare Innovations,Reproductive Endocrinology,9020.39,Approved,Paid,
COST00252,2025-06-25,IT Support,Sub-ITSupport-1,670.74,USD,Medical Devices Inc,Reproductive Endocrinology,882.85,Approved,Paid,INV2619-8779
COST00253,2024-06-09,Pharmaceuticals,Sub-Pharmaceuticals-2,6450.59,USD,Clinical Solutions Ltd,Reproductive Endocrinology,9648.04,Approved,Paid,INV9879-5833
COST00254,2025-06-07,Insurance,Sub-Insurance-5,8409.22,USD,Clinical Solutions Ltd,Embryology Lab,8763.31,Approved,Due,INV5496-4138
COST00255,2024-03-04,Pharmaceuticals,Sub-Pharmaceuticals-2,12858.93,USD,Medical Devices Inc,Nursing,10428.24,Pending,Paid,INV4529-1349
COST00256,2025-06-26,Rent/Lease,Sub-Rent/Lease-1,13650.16,USD,,Reproductive Endocrinology,19804.98,Approved,Paid,INV9440-5299
COST00257,2025-10-10,Pharmaceuticals,Sub-Pharmaceuticals-5,16044.07,USD,Precision Healthcare,Ultrasound,14318.16,Rejected,Paid,INV4284-5586
COST00258,2025-07-31,Medical Supplies,Sub-MedicalSupplies-3,69634.86728794374,USD,BioMed Corp,Nursing,84590.67,Approved,Paid,
COST00259,2025-01-11,Medical Supplies,Sub-MedicalSupplies-3,19069.39,USD,Healthcare Innovations,Andrology,21310.46,Approved,Overdue,INV6467-9528
COST00260,2024-04-27,Equipment Maintenance,Sub-EquipmentMaintenance-2,35199.48,USD,MedTech Solutions,Reproductive Endocrinology,41090.14,Approved,Paid,INV3803-2605
COST00261,2025-02-12,Equipment Maintenance,Sub-EquipmentMaintenance-3,21112.25,USD,Healthcare Innovations,Andrology,18668.44,Approved,Due,INV9434-5464
COST00262,2024-04-06,Utilities,Sub-Utilities-4,12447.58,USD,Advanced Medical Systems,Surgery,13502.06,Approved,Paid,INV2441-8794
COST00263,2024-04-07,Medical Supplies,Sub-MedicalSupplies-1,1520.0,USD,,Counseling,1876.21,Rejected,Paid,INV9231-1115
COST00264,2025-05-31,Rent/Lease,Sub-Rent/Lease-4,8530.6,USD,Medical Devices Inc,Andrology,11862.59,Approved,Due,INV9161-7396
COST00265,2024-07-09,Equipment Maintenance,Sub-EquipmentMaintenance-1,27323.01,USD,,Counseling,23621.76,Approved,Paid,INV4568-5481
COST00266,2024-08-23,Staff Salaries,Sub-StaffSalaries-5,68384.66,USD,Healthcare Innovations,Embryology Lab,65251.9,Approved,Due,INV7588-2244
COST00267,2025-01-15,Training,Sub-Training-5,19454.18,USD,Advanced Medical Systems,Nursing,19760.13,Approved,Due,INV6571-4295
COST00268,2025-01-18,Equipment Maintenance,Sub-EquipmentMaintenance-5,43059.63,USD,,Counseling,58545.2,Approved,Paid,INV7846-5783
COST00269,2025-10-16,Marketing,Sub-Marketing-1,17210.78,USD,Clinical Solutions Ltd,Andrology,18977.9,Approved,Paid,INV1302-1882
COST00270,2024-07-23,Equipment Maintenance,Sub-EquipmentMaintenance-2,38649.64,USD,Healthcare Innovations,Nursing,32276.4,Approved,Due,INV8633-3716
COST00271,2024-12-12,Insurance,Sub-Insurance-4,3218.03,USD,Healthcare Innovations,Nursing,4324.81,Rejected,Paid,
COST00272,2025-10-19,Training,Sub-Training-1,6120.55,USD,Medical Devices Inc,Embryology Lab,6531.43,Approved,Paid,INV4927-1269
COST00273,2025-01-15,Equipment Maintenance,Sub-EquipmentMaintenance-2,48467.42,USD,Precision Healthcare,Ultrasound,63696.87,Approved,Paid,INV8207-3667
COST00274,2024-03-24,Pharmaceuticals,Sub-Pharmaceuticals-3,12867.37,USD,MedTech Solutions,Ultrasound,11838.64,Approved,Paid,INV1824-3667
COST00275,2025-06-03,Insurance,Sub-Insurance-5,12527.58,USD,BioMed Corp,Counseling,10223.93,Approved,Paid,INV1535-5453
COST00276,2024-09-20,Insurance,Sub-Insurance-3,5179.08,USD,MedTech Solutions,Surgery,6375.71,Pending,Due,INV8041-9162
COST00277,2025-03-27,Training,Sub-Training-4,13100.1,USD,Medical Devices Inc,Reproductive Endocrinology,14218.92,Approved,Paid,INV1100-1288
COST00278,2024-05-26,Equipment Maintenance,Sub-EquipmentMaintenance-3,9532.42,USD,,Embryology Lab,8087.04,Approved,Paid,INV2369-1597
COST00279,2024-08-09,Staff Salaries,Sub-StaffSalaries-2,141908.53,USD,Medical Devices Inc,Andrology,135357.19,Approved,Due,INV5691-8330
COST00280,2025-01-27,Staff Salaries,Sub-StaffSalaries-3,76783.05,USD,Advanced Medical Systems,Counseling,91963.56,Approved,Paid,INV8571-8837
COST00281,2025-06-08,Equipment Maintenance,Sub-EquipmentMaintenance-3,14650.05,USD,Health Systems Pro,Nursing,14472.8,Approved,Paid,INV5927-6521
COST00282,2024-02-18,Utilities,Sub-Utilities-5,10607.7,USD,Medical Devices Inc,Counseling,15154.42,Approved,Overdue,INV4333-7508
COST00283,2025-04-21,Training,Sub-Training-2,10601.85,USD,BioMed Corp,Andrology,11038.24,Approved,Paid,INV8712-8320
COST00284,2024-06-03,Utilities,Sub-Utilities-3,18773.24,USD,Clinical Solutions Ltd,Nursing,22678.05,Approved,Due,INV4097-8877
COST00285,2025-10-10,Pharmaceuticals,Sub-Pharmaceuticals-1,8566.57,USD,Precision Healthcare,Andrology,8747.16,Approved,Paid,INV9253-7100
COST00286,2024-08-07,Marketing,Sub-Marketing-3,4717.13,USD,,Counseling,3775.91,Pending,Paid,INV7526-1741
COST00287,2024-02-18,Training,Sub-Training-4,13487.37,USD,Medical Devices Inc,Reproductive Endocrinology,13076.47,Approved,Paid,INV7279-5425
COST00288,2025-05-19,IT Support,Sub-ITSupport-2,1370.92,USD,MedTech Solutions,Embryology Lab,1616.04,Approved,Paid,INV1856-5611
COST00289,2025-03-08,Staff Salaries,Sub-StaffSalaries-1,93631.62,USD,Healthcare Innovations,Embryology Lab,89782.16,Approved,Paid,INV9841-4244
COST00290,2024-11-22,IT Support,Sub-ITSupport-4,4286.25,USD,Clinical Solutions Ltd,Andrology,6122.89,Approved,Paid,INV9838-3641
COST00291,2025-05-22,Rent/Lease,Sub-Rent/Lease-4,13217.29,USD,Advanced Medical Systems,Embryology Lab,10857.86,Approved,Paid,INV4567-5587
COST00292,2025-08-14,Rent/Lease,Sub-Rent/Lease-3,4569.15,USD,Healthcare Innovations,Nursing,6614.69,Pending,Paid,INV8586-2853
COST00293,2024-10-01,Medical Supplies,Sub-MedicalSupplies-2,31202.28,USD,Medical Devices Inc,Embryology Lab,34220.57,Approved,Paid,INV9468-2179
COST00294,2025-03-18,IT Support,Sub-ITSupport-4,14412.8,USD,Health Systems Pro,Surgery,13351.34,Approved,Paid,
COST00295,2025-04-02,Utilities,Sub-Utilities-5,6594.62,USD,Medical Devices Inc,Ultrasound,6464.59,Approved,Paid,INV6384-6790
COST00296,2024-11-16,Staff Salaries,Sub-StaffSalaries-4,1961099.89378974,USD,,Embryology Lab,2139224.09,Approved,Due,INV3385-9255
COST00297,2024-11-03,Pharmaceuticals,Sub-Pharmaceuticals-2,8204.59,USD,Medical Devices Inc,Ultrasound,7253.02,Approved,Paid,
COST00298,2025-10-06,Equipment Maintenance,Sub-EquipmentMaintenance-4,1120.17,USD,Health Systems Pro,Embryology Lab,1305.33,Approved,Paid,INV3263-3743
COST00299,2024-08-03,Insurance,Sub-Insurance-1,6997.89,USD,Advanced Medical Systems,Counseling,6251.3,Approved,Paid,INV5032-2977
COST00300,2024-12-10,Rent/Lease,Sub-Rent/Lease-1,3977.05,USD,MedTech Solutions,Nursing,5379.1,Approved,Due,INV3360-4417
COST00301,2025-04-11,Pharmaceuticals,Sub-Pharmaceuticals-3,16254.35,USD,Medical Devices Inc,Ultrasound,20001.48,Pending,Paid,INV2108-7872
COST00302,2024-07-09,Pharmaceuticals,Sub-Pharmaceuticals-3,13865.49,USD,Health Systems Pro,Surgery,19701.95,Approved,Due,INV2943-5818
COST00303,2024-10-07,Medical Supplies,Sub-MedicalSupplies-4,151472.78076940196,USD,,Embryology Lab,158557.17,Approved,Paid,INV6446-5565
COST00304,2025-09-18,Equipment Maintenance,Sub-EquipmentMaintenance-2,8288.64,USD,Precision Healthcare,Reproductive Endocrinology,8602.58,Approved,Paid,INV4478-5527
COST00305,2025-06-22,Staff Salaries,Sub-StaffSalaries-1,147469.65,USD,Precision Healthcare,Andrology,128956.0,Approved,Paid,INV8482-7032
COST00306,2025-10-18,Medical Supplies,Sub-MedicalSupplies-4,11869.37,USD,,Andrology,15922.96,Approved,Paid,
COST00307,2025-03-20,Training,Sub-Training-3,233521.46775605716,USD,Precision Healthcare,Embryology Lab,307651.24,Approved,Paid,INV3522-3862
COST00308,2024-03-11,IT Support,Sub-ITSupport-3,15185.39,USD,BioMed Corp,Nursing,22269.65,Approved,Paid,INV4819-2620
COST00309,2025-01-08,Pharmaceuticals,Sub-Pharmaceuticals-3,11380.63,USD,Medical Devices Inc,Ultrasound,12411.24,Approved,Due,INV2929-4094
COST00310,2024-12-09,Marketing,Sub-Marketing-4,11573.58,USD,Clinical Solutions Ltd,Ultrasound,14973.78,Approved,Paid,INV6136-7428
COST00311,2024-06-06,IT Support,Sub-ITSupport-5,16768.07,USD,,Surgery,22382.26,Approved,Paid,INV9319-8380
COST00312,2025-04-28,Insurance,Sub-Insurance-2,16402.55,USD,Health Systems Pro,Surgery,14283.29,Approved,Paid,INV9901-5402
COST00313,2025-07-24,Equipment Maintenance,Sub-EquipmentMaintenance-3,23838.07,USD,Health Systems Pro,Reproductive Endocrinology,29046.48,Approved,Paid,INV1127-8632
COST00314,2024-01-27,Insurance,Sub-Insurance-2,14373.12,USD,BioMed Corp,Andrology,11825.7,Approved,Paid,INV7459-9616
COST00315,2024-11-13,Insurance,Sub-Insurance-5,1059.71,USD,Precision Healthcare,Counseling,1156.53,Pending,Due,
COST00316,2025-05-09,Medical Supplies,Sub-MedicalSupplies-1,18972.85,USD,BioMed Corp,Reproductive Endocrinology,23749.84,Pending,Overdue,INV3462-2417
COST00317,2024-11-20,IT Support,Sub-ITSupport-1,3538.97,USD,Precision Healthcare,Nursing,3776.77,Approved,Paid,INV7615-5433
COST00318,2024-12-21,Pharmaceuticals,Sub-Pharmaceuticals-5,11702.34,USD,Healthcare Innovations,Surgery,16893.77,Approved,Due,
COST00319,2024-03-22,Training,Sub-Training-5,9895.45,USD,,Nursing,13484.52,Approved,Overdue,INV1292-7797
COST00320,2024-11-09,Medical Supplies,Sub-MedicalSupplies-5,44856.87,USD,Advanced Medical Systems,Nursing,42012.05,Approved,Due,INV6992-3666
COST00321,2024-04-07,Equipment Maintenance,Sub-EquipmentMaintenance-4,11276.66,USD,Precision Healthcare,Counseling,9920.54,Approved,Paid,INV6768-1128
COST00322,2025-06-17,Training,Sub-Training-3,1795.36,USD,Health Systems Pro,Andrology,2133.36,Approved,Paid,
COST00323,2025-07-18,Utilities,Sub-Utilities-5,18514.74,USD,Advanced Medical Systems,Ultrasound,24823.92,Pending,Paid,INV1677-5112
COST00324,2025-06-13,Pharmaceuticals,Sub-Pharmaceuticals-1,11515.64,USD,Medical Devices Inc,Counseling,15979.58,Approved,Paid,INV9366-7419
COST00325,2024-01-28,Training,Sub-Training-5,4779.54,USD,MedTech Solutions,Nursing,6238.69,Approved,Paid,INV9589-1541
COST00326,2025-01-25,Pharmaceuticals,Sub-Pharmaceuticals-2,11677.0,USD,BioMed Corp,Reproductive Endocrinology,10799.6,Approved,Paid,INV6445-2691
COST00327,2025-04-30,Training,Sub-Training-1,9037.44,USD,Health Systems Pro,Embryology Lab,10877.3,Approved,Paid,INV6904-1918
COST00328,2024-05-31,Marketing,Sub-Marketing-5,6854.81,USD,,Embryology Lab,7796.23,Approved,Due,
COST00329,2024-02-22,Pharmaceuticals,Sub-Pharmaceuticals-4,3409.62,USD,Clinical Solutions Ltd,Andrology,4857.29,Approved,Paid,INV3961-5256
COST00330,2024-10-29,Pharmaceuticals,Sub-Pharmaceuticals-5,14605.55,USD,Healthcare Innovations,Reproductive Endocrinology,17331.27,Approved,Paid,INV5844-9799
COST00331,2025-09-25,Staff Salaries,Sub-StaffSalaries-5,147618.3,USD,,Andrology,127656.26,Approved,Overdue,INV7118-1250
COST00332,2024-05-07,Rent/Lease,Sub-Rent/Lease-1,3200.07,USD,Precision Healthcare,Nursing,4563.08,Pending,Paid,INV3453-1872
COST00333,2025-02-02,Marketing,Sub-Marketing-3,16692.6,USD,Precision Healthcare,Surgery,22930.07,Approved,Due,INV9595-1647
COST00334,2025-02-08,Insurance,Sub-Insurance-5,4363.79,USD,Precision Healthcare,Reproductive Endocrinology,3989.07,Approved,Paid,INV9006-1372
COST00335,2025-03-15,Utilities,Sub-Utilities-1,8516.21,USD,BioMed Corp,Reproductive Endocrinology,9811.34,Approved,Paid,INV1151-4849
COST00336,2025-09-09,Marketing,Sub-Marketing-4,17120.33,USD,MedTech Solutions,Reproductive Endocrinology,19211.13,Rejected,Paid,INV5785-2334
COST00337,2025-02-11,Pharmaceuticals,Sub-Pharmaceuticals-3,11621.2,USD,,Ultrasound,15544.91,Approved,Paid,INV5597-9938
COST00338,2024-11-06,IT Support,Sub-ITSupport-5,13598.87,USD,Health Systems Pro,Nursing,13947.68,Approved,Due,INV1880-1901
COST00339,2024-09-05,Staff Salaries,Sub-StaffSalaries-3,147609.17,USD,,Reproductive Endocrinology,209551.46,Approved,Paid,INV4580-5535
COST00340,2024-11-08,Marketing,Sub-Marketing-5,6038.79,USD,Healthcare Innovations,Ultrasound,6928.73,Approved,Due,INV1420-1049
COST00341,2025-09-07,IT Support,Sub-ITSupport-1,1035.64,USD,,Embryology Lab,1356.58,Approved,Paid,INV2879-4664
COST00342,2024-04-27,Medical Supplies,Sub-MedicalSupplies-1,42395.18,USD,,Ultrasound,57736.52,Approved,Paid,INV9380-4088
COST00343,2025-03-10,Training,Sub-Training-4,10022.01,USD,Medical Devices Inc,Reproductive Endocrinology,12400.62,Approved,Paid,INV6561-6528
COST00344,2025-09-15,Insurance,Sub-Insurance-1,11216.68,USD,Health Systems Pro,Ultrasound,13227.42,Approved,Paid,INV1428-4253
COST00345,2025-01-21,Marketing,Sub-Marketing-2,10147.54,USD,Health Systems Pro,Embryology Lab,12942.31,Approved,Paid,INV7345-8302
COST00346,2025-05-24,IT Support,Sub-ITSupport-5,7450.39,USD,Clinical Solutions Ltd,Embryology Lab,9804.48,Approved,Paid,INV5711-1599
COST00347,2024-05-31,Rent/Lease,Sub-Rent/Lease-5,9233.31,USD,MedTech Solutions,Ultrasound,9802.36,Approved,Paid,INV9374-1332
COST00348,2024-03-07,Staff Salaries,Sub-StaffSalaries-3,69044.28,USD,Health Systems Pro,Reproductive Endocrinology,62311.2,Approved,Paid,INV1126-5174
COST00349,2024-04-27,Marketing,Sub-Marketing-1,17979.52,USD,Healthcare Innovations,Andrology,18970.12,Pending,Due,INV8977-3189
COST00350,2025-02-02,Marketing,Sub-Marketing-4,9824.17,USD,Medical Devices Inc,Counseling,12554.15,Pending,Paid,INV7642-4525
COST00351,2025-03-06,Utilities,Sub-Utilities-3,14591.92,USD,BioMed Corp,Surgery,20457.95,Approved,Paid,INV5136-5199
COST00352,2024-09-24,Pharmaceuticals,Sub-Pharmaceuticals-2,13768.3,USD,Precision Healthcare,Reproductive Endocrinology,13849.15,Approved,Paid,INV1734-6034
COST00353,2025-02-22,Training,Sub-Training-3,12291.0,USD,Clinical Solutions Ltd,Andrology,15422.94,Approved,Due,INV1881-8946
COST00354,2024-05-27,IT Support,Sub-ITSupport-4,13641.12,USD,Advanced Medical Systems,Nursing,20397.31,Approved,Due,INV3831-8705
COST00355,2024-06-18,Equipment Maintenance,Sub-EquipmentMaintenance-3,22011.53,USD,Precision Healthcare,Ultrasound,26181.03,Pending,Paid,INV7824-4875
COST00356,2024-07-22,Rent/Lease,Sub-Rent/Lease-5,9947.83,USD,,Andrology,10137.59,Approved,Paid,
COST00357,2024-05-16,Medical Supplies,Sub-MedicalSupplies-5,44509.58,USD,,Surgery,54831.47,Pending,Paid,INV4845-1397
COST00358,2024-01-27,Medical Supplies,Sub-MedicalSupplies-5,37499.69,USD,BioMed Corp,Andrology,40881.05,Approved,Paid,INV1483-6759
COST00359,2024-09-21,Training,Sub-Training-2,18648.93,USD,Clinical Solutions Ltd,Reproductive Endocrinology,15536.74,Pending,Paid,INV7977-5572
COST00360,2025-04-24,Insurance,Sub-Insurance-4,9615.83,USD,MedTech Solutions,Counseling,12861.52,Approved,Due,INV5798-3189
COST00361,2025-10-28,Staff Salaries,Sub-StaffSalaries-3,153856.72,USD,BioMed Corp,Counseling,181056.38,Pending,Paid,INV3048-4784
COST00362,2025-08-12,Marketing,Sub-Marketing-5,5864.97,USD,Clinical Solutions Ltd,Surgery,5953.58,Approved,Paid,INV1466-2874
COST00363,2024-01-20,Marketing,Sub-Marketing-1,1690.57,USD,Advanced Medical Systems,Counseling,1357.47,Rejected,Due,INV2393-5311
COST00364,2025-09-08,IT Support,Sub-ITSupport-2,17444.77,USD,Precision Healthcare,Embryology Lab,25343.69,Pending,Paid,INV7971-8534
COST00365,2024-03-13,Training,Sub-Training-2,15805.24,USD,Advanced Medical Systems,Surgery,15016.07,Approved,Paid,INV2536-2692
COST00366,2024-12-06,Training,Sub-Training-3,275116.61780736747,USD,Advanced Medical Systems,Ultrasound,311172.47,Pending,Paid,INV9300-7508
COST00367,2024-02-28,Marketing,Sub-Marketing-2,16992.55,USD,Medical Devices Inc,Counseling,24737.02,Pending,Paid,INV2888-3317
