kpi_id,month_year,department,kpi_name,kpi_value,target_value,unit,trend,benchmark_comparison
KPI00455,2024-06,Andrology,Overtime Hours,0.92,0.738,USD,Stable,Below Industry Average
KPI00456,2024-06,Andrology,Staff Turnover Rate,0.528,0.9,score,Declining,At Industry Average
KPI00457,2024-06,Nursing,Average Wait Time,0.514,0.724,count,Stable,Below Industry Average
KPI00458,2024-06,Nursing,Patient Satisfaction Score,0.522,0.886,%,Improving,Above Industry Average
KPI00459,2024-06,Nursing,Equipment Utilization Rate,0.809,0.844,%,Improving,At Industry Average
KPI00460,2024-06,Nursing,Room Utilization Rate,0.571,0.836,%,Improving,Below Industry Average
KPI00461,2024-06,Nursing,Staff Productivity Score,0.729,0.917,USD,Declining,At Industry Average
KPI00462,2024-06,Nursing,Appointment No-Show Rate,0.589,0.948,score,Volatile,Below Industry Average
KPI00463,2024-06,Nursing,Cost Per Patient,0.67,0.891,%,Stable,At Industry Average
KPI00464,2024-06,Nursing,Revenue Per Patient,0.779,0.937,score,Declining,Below Industry Average
KPI00465,2024-06,Nursing,Treatment Success Rate,0.66,0.84,USD,Stable,Above Industry Average
KPI00466,2024-06,Nursing,Patient Throughput,0.693,0.876,minutes,Declining,Above Industry Average
KPI00467,2024-06,Nursing,Overtime Hours,0.58,0.865,score,Volatile,Above Industry Average
KPI00468,2024-06,Nursing,Staff Turnover Rate,0.691,0.814,USD,Declining,Above Industry Average
KPI00469,2024-06,Ultrasound,Average Wait Time,0.56,0.838,rate,Volatile,At Industry Average
KPI00470,2024-06,Ultrasound,Patient Satisfaction Score,0.631,0.757,USD,Volatile,At Industry Average
KPI00471,2024-06,Ultrasound,Equipment Utilization Rate,0.615,0.808,USD,Volatile,At Industry Average
KPI00472,2024-06,Ultrasound,Room Utilization Rate,0.823,0.845,minutes,Improving,At Industry Average
KPI00473,2024-06,Ultrasound,Staff Productivity Score,,0.945,minutes,Improving,At Industry Average
KPI00474,2024-06,Ultrasound,Appointment No-Show Rate,0.369,0.843,minutes,Stable,At Industry Average
KPI00475,2024-06,Ultrasound,Cost Per Patient,0.872,0.863,score,Improving,Below Industry Average
KPI00476,2024-06,Ultrasound,Revenue Per Patient,0.715,0.738,score,Improving,At Industry Average
KPI00477,2024-06,Ultrasound,Treatment Success Rate,0.626,0.893,rate,Declining,Below Industry Average
KPI00478,2024-06,Ultrasound,Patient Throughput,0.504,0.905,USD,Declining,Above Industry Average
KPI00479,2024-06,Ultrasound,Overtime Hours,0.91,0.947,USD,Volatile,Below Industry Average
KPI00480,2024-06,Ultrasound,Staff Turnover Rate,0.66,0.76,score,Volatile,Above Industry Average
KPI00481,2024-06,Surgery,Average Wait Time,0.542,0.906,rate,Volatile,Above Industry Average
KPI00482,2024-06,Surgery,Patient Satisfaction Score,1.558,0.848,score,Stable,At Industry Average
KPI00483,2024-06,Surgery,Equipment Utilization Rate,0.94,0.704,rate,Volatile,Above Industry Average
KPI00484,2024-06,Surgery,Room Utilization Rate,0.58,0.769,minutes,Stable,Below Industry Average
KPI00485,2024-06,Surgery,Staff Productivity Score,0.905,0.799,count,Declining,Below Industry Average
KPI00486,2024-06,Surgery,Appointment No-Show Rate,0.932,0.892,minutes,Improving,Above Industry Average
KPI00487,2024-06,Surgery,Cost Per Patient,0.778,0.703,minutes,Improving,At Industry Average
KPI00488,2024-06,Surgery,Revenue Per Patient,0.789,0.793,rate,Declining,Above Industry Average
KPI00489,2024-06,Surgery,Treatment Success Rate,0.775,0.925,%,Declining,Above Industry Average
KPI00490,2024-06,Surgery,Patient Throughput,0.858,0.722,USD,Volatile,Below Industry Average
KPI00491,2024-06,Surgery,Overtime Hours,0.706,0.934,rate,Stable,At Industry Average
KPI00492,2024-06,Surgery,Staff Turnover Rate,0.809,0.728,%,Stable,At Industry Average
KPI00493,2024-06,Counseling,Average Wait Time,0.883,0.776,score,Stable,At Industry Average
KPI00494,2024-06,Counseling,Patient Satisfaction Score,0.843,0.727,%,Improving,Below Industry Average
KPI00495,2024-06,Counseling,Equipment Utilization Rate,0.84,0.752,rate,Improving,Below Industry Average
KPI00496,2024-06,Counseling,Room Utilization Rate,0.837,0.933,%,Volatile,Above Industry Average
KPI00497,2024-06,Counseling,Staff Productivity Score,0.823,0.836,minutes,Stable,Above Industry Average
KPI00498,2024-06,Counseling,Appointment No-Show Rate,0.794,0.762,rate,Declining,At Industry Average
KPI00499,2024-06,Counseling,Cost Per Patient,0.535,0.813,%,Volatile,Above Industry Average
KPI00500,2024-06,Counseling,Revenue Per Patient,0.715,0.829,rate,Volatile,At Industry Average
KPI00501,2024-06,Counseling,Treatment Success Rate,0.662,0.875,rate,Stable,Below Industry Average
KPI00502,2024-06,Counseling,Patient Throughput,0.886,0.918,score,Declining,At Industry Average
KPI00503,2024-06,Counseling,Overtime Hours,,0.832,%,Declining,Below Industry Average
KPI00504,2024-06,Counseling,Staff Turnover Rate,1.967,0.804,count,Volatile,Above Industry Average
KPI00505,2024-07,Reproductive Endocrinology,Average Wait Time,0.616,0.748,%,Stable,At Industry Average
KPI00506,2024-07,Reproductive Endocrinology,Patient Satisfaction Score,0.764,0.715,rate,Volatile,At Industry Average
KPI00507,2024-07,Reproductive Endocrinology,Equipment Utilization Rate,0.729,0.848,rate,Declining,Above Industry Average
KPI00508,2024-07,Reproductive Endocrinology,Room Utilization Rate,0.821,0.84,score,Volatile,At Industry Average
KPI00509,2024-07,Reproductive Endocrinology,Staff Productivity Score,0.746,0.799,minutes,Stable,At Industry Average
KPI00510,2024-07,Reproductive Endocrinology,Appointment No-Show Rate,0.708,0.83,rate,Improving,At Industry Average
KPI00511,2024-07,Reproductive Endocrinology,Cost Per Patient,0.679,0.845,minutes,Declining,Above Industry Average
KPI00512,2024-07,Reproductive Endocrinology,Revenue Per Patient,0.82,0.777,%,Stable,Above Industry Average
KPI00513,2024-07,Reproductive Endocrinology,Treatment Success Rate,0.69,0.738,count,Volatile,At Industry Average
KPI00514,2024-07,Reproductive Endocrinology,Patient Throughput,0.261,0.7,USD,Volatile,Below Industry Average
KPI00515,2024-07,Reproductive Endocrinology,Overtime Hours,0.763,0.74,%,Declining,At Industry Average
KPI00516,2024-07,Reproductive Endocrinology,Staff Turnover Rate,0.875,0.9,%,Improving,Above Industry Average
KPI00517,2024-07,Embryology Lab,Average Wait Time,0.577,0.766,score,Volatile,At Industry Average
KPI00518,2024-07,Embryology Lab,Patient Satisfaction Score,0.728,0.747,rate,Improving,At Industry Average
KPI00519,2024-07,Embryology Lab,Equipment Utilization Rate,0.6,0.702,rate,Declining,Above Industry Average
KPI00520,2024-07,Embryology Lab,Room Utilization Rate,0.776,0.709,USD,Improving,Above Industry Average
KPI00521,2024-07,Embryology Lab,Staff Productivity Score,0.744,0.747,minutes,Stable,Below Industry Average
KPI00522,2024-07,Embryology Lab,Appointment No-Show Rate,1.275,0.928,%,Improving,At Industry Average
KPI00523,2024-07,Embryology Lab,Cost Per Patient,0.485,0.799,%,Declining,Below Industry Average
KPI00524,2024-07,Embryology Lab,Revenue Per Patient,0.9,0.708,USD,Volatile,Below Industry Average
KPI00525,2024-07,Embryology Lab,Treatment Success Rate,0.768,0.854,rate,Stable,Below Industry Average
KPI00526,2024-07,Embryology Lab,Patient Throughput,0.801,0.905,count,Volatile,At Industry Average
KPI00527,2024-07,Embryology Lab,Overtime Hours,1.108,0.801,%,Stable,Below Industry Average
KPI00528,2024-07,Embryology Lab,Staff Turnover Rate,0.497,0.835,USD,Stable,Above Industry Average
KPI00529,2024-07,Andrology,Average Wait Time,0.517,0.731,rate,Improving,Above Industry Average
KPI00530,2024-07,Andrology,Patient Satisfaction Score,0.648,0.932,USD,Declining,Below Industry Average
KPI00531,2024-07,Andrology,Equipment Utilization Rate,0.709,0.853,score,Volatile,Below Industry Average
KPI00532,2024-07,Andrology,Room Utilization Rate,0.668,0.851,minutes,Stable,Below Industry Average
KPI00533,2024-07,Andrology,Staff Productivity Score,,0.949,minutes,Volatile,At Industry Average
KPI00534,2024-07,Andrology,Appointment No-Show Rate,0.859,0.885,rate,Improving,At Industry Average
KPI00535,2024-07,Andrology,Cost Per Patient,0.533,0.794,rate,Declining,At Industry Average
KPI00536,2024-07,Andrology,Revenue Per Patient,0.869,0.815,score,Declining,Below Industry Average
KPI00537,2024-07,Andrology,Treatment Success Rate,0.484,0.769,count,Stable,Below Industry Average
KPI00538,2024-07,Andrology,Patient Throughput,1.814,0.744,count,Volatile,Above Industry Average
KPI00539,2024-07,Andrology,Overtime Hours,0.539,0.868,USD,Improving,At Industry Average
KPI00540,2024-07,Andrology,Staff Turnover Rate,0.683,0.866,count,Improving,Below Industry Average
KPI00541,2024-07,Nursing,Average Wait Time,0.564,0.912,count,Declining,Above Industry Average
KPI00542,2024-07,Nursing,Patient Satisfaction Score,0.718,0.896,score,Volatile,Below Industry Average
KPI00543,2024-07,Nursing,Equipment Utilization Rate,,0.71,count,Declining,Below Industry Average
KPI00544,2024-07,Nursing,Room Utilization Rate,1.498,0.758,USD,Improving,At Industry Average
KPI00545,2024-07,Nursing,Staff Productivity Score,0.868,0.87,USD,Stable,At Industry Average
KPI00546,2024-07,Nursing,Appointment No-Show Rate,0.563,0.876,rate,Declining,Below Industry Average
KPI00547,2024-07,Nursing,Cost Per Patient,,0.797,minutes,Stable,At Industry Average
KPI00548,2024-07,Nursing,Revenue Per Patient,0.687,0.741,%,Volatile,At Industry Average
KPI00549,2024-07,Nursing,Treatment Success Rate,0.58,0.714,rate,Improving,Above Industry Average
KPI00550,2024-07,Nursing,Patient Throughput,0.808,0.792,score,Improving,Above Industry Average
KPI00551,2024-07,Nursing,Overtime Hours,0.779,0.718,minutes,Declining,Above Industry Average
KPI00552,2024-07,Nursing,Staff Turnover Rate,0.751,0.944,minutes,Volatile,Below Industry Average
KPI00553,2024-07,Ultrasound,Average Wait Time,0.571,0.785,minutes,Declining,Below Industry Average
KPI00554,2024-07,Ultrasound,Patient Satisfaction Score,0.778,0.743,minutes,Improving,Below Industry Average
KPI00555,2024-07,Ultrasound,Equipment Utilization Rate,0.499,0.716,%,Volatile,Above Industry Average
KPI00556,2024-07,Ultrasound,Room Utilization Rate,0.768,0.726,rate,Declining,At Industry Average
KPI00557,2024-07,Ultrasound,Staff Productivity Score,0.751,0.847,score,Declining,At Industry Average
KPI00558,2024-07,Ultrasound,Appointment No-Show Rate,0.669,0.855,%,Declining,Above Industry Average
KPI00559,2024-07,Ultrasound,Cost Per Patient,0.783,0.736,rate,Volatile,Below Industry Average
KPI00560,2024-07,Ultrasound,Revenue Per Patient,0.633,0.733,%,Volatile,Below Industry Average
KPI00561,2024-07,Ultrasound,Treatment Success Rate,0.517,0.928,USD,Stable,Below Industry Average
KPI00562,2024-07,Ultrasound,Patient Throughput,0.671,0.865,score,Improving,Above Industry Average
KPI00563,2024-07,Ultrasound,Overtime Hours,0.525,0.723,USD,Volatile,At Industry Average
KPI00564,2024-07,Ultrasound,Staff Turnover Rate,0.737,0.872,rate,Declining,Above Industry Average
KPI00565,2024-07,Surgery,Average Wait Time,0.737,0.718,score,Declining,Above Industry Average
KPI00566,2024-07,Surgery,Patient Satisfaction Score,0.731,0.701,minutes,Declining,At Industry Average
KPI00567,2024-07,Surgery,Equipment Utilization Rate,0.507,0.946,USD,Volatile,Above Industry Average
KPI00568,2024-07,Surgery,Room Utilization Rate,0.734,0.895,minutes,Volatile,At Industry Average
KPI00569,2024-07,Surgery,Staff Productivity Score,0.551,0.844,minutes,Declining,Above Industry Average
KPI00570,2024-07,Surgery,Appointment No-Show Rate,0.541,0.754,count,Declining,At Industry Average
KPI00571,2024-07,Surgery,Cost Per Patient,0.993,0.928,score,Volatile,At Industry Average
KPI00572,2024-07,Surgery,Revenue Per Patient,0.861,0.839,count,Declining,Above Industry Average
KPI00573,2024-07,Surgery,Treatment Success Rate,0.543,0.898,%,Improving,At Industry Average
KPI00574,2024-07,Surgery,Patient Throughput,0.572,0.793,rate,Volatile,Below Industry Average
KPI00575,2024-07,Surgery,Overtime Hours,0.755,0.908,count,Volatile,Above Industry Average
KPI00576,2024-07,Surgery,Staff Turnover Rate,0.667,0.945,score,Stable,Below Industry Average
KPI00577,2024-07,Counseling,Average Wait Time,0.885,0.822,USD,Volatile,Below Industry Average
KPI00578,2024-07,Counseling,Patient Satisfaction Score,0.63,0.701,%,Improving,At Industry Average
KPI00579,2024-07,Counseling,Equipment Utilization Rate,0.81,0.887,count,Declining,Below Industry Average
KPI00580,2024-07,Counseling,Room Utilization Rate,0.831,0.883,count,Declining,Below Industry Average
KPI00581,2024-07,Counseling,Staff Productivity Score,0.758,0.851,%,Declining,At Industry Average
KPI00582,2024-07,Counseling,Appointment No-Show Rate,0.634,0.901,count,Declining,Above Industry Average
KPI00583,2024-07,Counseling,Cost Per Patient,0.721,0.92,minutes,Volatile,At Industry Average
KPI00584,2024-07,Counseling,Revenue Per Patient,0.748,0.709,count,Declining,Below Industry Average
KPI00585,2024-07,Counseling,Treatment Success Rate,0.609,0.788,rate,Improving,Above Industry Average
KPI00586,2024-07,Counseling,Patient Throughput,0.825,0.771,%,Volatile,Below Industry Average
KPI00587,2024-07,Counseling,Overtime Hours,0.776,0.906,count,Stable,At Industry Average
KPI00588,2024-07,Counseling,Staff Turnover Rate,0.901,0.916,%,Declining,Above Industry Average
KPI00589,2024-08,Reproductive Endocrinology,Average Wait Time,0.665,0.88,minutes,Improving,Above Industry Average
KPI00590,2024-08,Reproductive Endocrinology,Patient Satisfaction Score,0.832,0.937,%,Volatile,Above Industry Average
KPI00591,2024-08,Reproductive Endocrinology,Equipment Utilization Rate,0.864,0.763,rate,Volatile,Below Industry Average
KPI00592,2024-08,Reproductive Endocrinology,Room Utilization Rate,0.469,0.918,%,Improving,At Industry Average
KPI00593,2024-08,Reproductive Endocrinology,Staff Productivity Score,0.687,0.903,%,Declining,At Industry Average
KPI00594,2024-08,Reproductive Endocrinology,Appointment No-Show Rate,0.85,0.732,count,Improving,Above Industry Average
KPI00595,2024-08,Reproductive Endocrinology,Cost Per Patient,0.758,0.893,minutes,Volatile,Above Industry Average
KPI00596,2024-08,Reproductive Endocrinology,Revenue Per Patient,0.829,0.829,rate,Volatile,Below Industry Average
KPI00597,2024-08,Reproductive Endocrinology,Treatment Success Rate,1.252,0.824,count,Stable,Above Industry Average
KPI00598,2024-08,Reproductive Endocrinology,Patient Throughput,0.682,0.892,minutes,Declining,Above Industry Average
KPI00599,2024-08,Reproductive Endocrinology,Overtime Hours,,0.886,USD,Improving,At Industry Average
KPI00600,2024-08,Reproductive Endocrinology,Staff Turnover Rate,0.508,0.907,USD,Volatile,Above Industry Average
KPI00601,2024-08,Embryology Lab,Average Wait Time,0.436,0.707,minutes,Improving,Above Industry Average
KPI00602,2024-08,Embryology Lab,Patient Satisfaction Score,0.468,0.708,USD,Stable,At Industry Average
KPI00603,2024-08,Embryology Lab,Equipment Utilization Rate,0.762,0.804,USD,Improving,At Industry Average
KPI00604,2024-08,Embryology Lab,Room Utilization Rate,,0.833,count,Declining,Above Industry Average
KPI00605,2024-08,Embryology Lab,Staff Productivity Score,0.635,0.814,score,Stable,At Industry Average
KPI00606,2024-08,Embryology Lab,Appointment No-Show Rate,0.652,0.864,score,Improving,Below Industry Average
KPI00607,2024-08,Embryology Lab,Cost Per Patient,0.72,0.873,rate,Improving,Below Industry Average
KPI00608,2024-08,Embryology Lab,Revenue Per Patient,1.525,0.726,%,Improving,Above Industry Average
KPI00609,2024-08,Embryology Lab,Treatment Success Rate,0.647,0.772,count,Declining,Below Industry Average
KPI00610,2024-08,Embryology Lab,Patient Throughput,0.756,0.746,score,Declining,At Industry Average
KPI00611,2024-08,Embryology Lab,Overtime Hours,0.618,0.892,rate,Volatile,At Industry Average
KPI00612,2024-08,Embryology Lab,Staff Turnover Rate,0.5,0.76,rate,Volatile,Above Industry Average
KPI00613,2024-08,Andrology,Average Wait Time,0.604,0.77,score,Improving,Below Industry Average
KPI00614,2024-08,Andrology,Patient Satisfaction Score,0.757,0.717,minutes,Declining,Above Industry Average
KPI00615,2024-08,Andrology,Equipment Utilization Rate,0.687,0.726,%,Improving,Above Industry Average
KPI00616,2024-08,Andrology,Room Utilization Rate,0.704,0.88,score,Improving,Below Industry Average
KPI00617,2024-08,Andrology,Staff Productivity Score,0.833,0.908,USD,Volatile,At Industry Average
KPI00618,2024-08,Andrology,Appointment No-Show Rate,0.588,0.948,USD,Stable,At Industry Average
KPI00619,2024-08,Andrology,Cost Per Patient,0.792,0.848,rate,Improving,Above Industry Average
KPI00620,2024-08,Andrology,Revenue Per Patient,0.485,0.928,rate,Declining,Above Industry Average
KPI00621,2024-08,Andrology,Treatment Success Rate,0.816,0.739,minutes,Improving,At Industry Average
KPI00622,2024-08,Andrology,Patient Throughput,0.559,0.798,minutes,Improving,Above Industry Average
KPI00623,2024-08,Andrology,Overtime Hours,0.739,0.844,score,Improving,Above Industry Average
KPI00624,2024-08,Andrology,Staff Turnover Rate,0.717,0.903,score,Declining,At Industry Average
KPI00625,2024-08,Nursing,Average Wait Time,0.819,0.867,count,Volatile,Above Industry Average
KPI00626,2024-08,Nursing,Patient Satisfaction Score,,0.746,score,Volatile,Below Industry Average
KPI00627,2024-08,Nursing,Equipment Utilization Rate,0.469,0.848,count,Volatile,At Industry Average
KPI00628,2024-08,Nursing,Room Utilization Rate,0.596,0.8,%,Improving,Below Industry Average
KPI00629,2024-08,Nursing,Staff Productivity Score,0.586,0.73,%,Volatile,Below Industry Average
KPI00630,2024-08,Nursing,Appointment No-Show Rate,0.794,0.811,minutes,Declining,Above Industry Average
KPI00631,2024-08,Nursing,Cost Per Patient,0.59,0.723,%,Stable,Below Industry Average
KPI00632,2024-08,Nursing,Revenue Per Patient,0.851,0.712,rate,Stable,Below Industry Average
KPI00633,2024-08,Nursing,Treatment Success Rate,0.692,0.83,USD,Improving,Below Industry Average
KPI00634,2024-08,Nursing,Patient Throughput,0.546,0.733,USD,Improving,Below Industry Average
KPI00635,2024-08,Nursing,Overtime Hours,0.658,0.926,count,Improving,Above Industry Average
KPI00636,2024-08,Nursing,Staff Turnover Rate,0.672,0.883,score,Improving,Below Industry Average
KPI00637,2024-08,Ultrasound,Average Wait Time,0.795,0.897,USD,Declining,Below Industry Average
KPI00638,2024-08,Ultrasound,Patient Satisfaction Score,0.528,0.72,USD,Declining,At Industry Average
KPI00639,2024-08,Ultrasound,Equipment Utilization Rate,0.556,0.819,score,Stable,At Industry Average
KPI00640,2024-08,Ultrasound,Room Utilization Rate,0.581,0.912,minutes,Stable,Above Industry Average
KPI00641,2024-08,Ultrasound,Staff Productivity Score,0.66,0.717,count,Declining,At Industry Average
KPI00642,2024-08,Ultrasound,Appointment No-Show Rate,0.69,0.724,score,Volatile,Below Industry Average
KPI00643,2024-08,Ultrasound,Cost Per Patient,0.824,0.741,count,Volatile,At Industry Average
KPI00644,2024-08,Ultrasound,Revenue Per Patient,0.722,0.779,minutes,Stable,Below Industry Average
KPI00645,2024-08,Ultrasound,Treatment Success Rate,0.46,0.704,USD,Stable,Below Industry Average
KPI00646,2024-08,Ultrasound,Patient Throughput,0.623,0.778,minutes,Declining,Above Industry Average
KPI00647,2024-08,Ultrasound,Overtime Hours,1.509,0.731,score,Volatile,Below Industry Average
KPI00648,2024-08,Ultrasound,Staff Turnover Rate,0.737,0.864,%,Improving,Above Industry Average
KPI00649,2024-08,Surgery,Average Wait Time,0.817,0.816,count,Improving,At Industry Average
KPI00650,2024-08,Surgery,Patient Satisfaction Score,0.574,0.822,count,Stable,Above Industry Average
KPI00651,2024-08,Surgery,Equipment Utilization Rate,0.722,0.708,minutes,Declining,Above Industry Average
KPI00652,2024-08,Surgery,Room Utilization Rate,0.862,0.804,count,Declining,Above Industry Average
KPI00653,2024-08,Surgery,Staff Productivity Score,0.528,0.906,score,Volatile,Above Industry Average
KPI00654,2024-08,Surgery,Appointment No-Show Rate,0.975,0.858,minutes,Declining,At Industry Average
KPI00655,2024-08,Surgery,Cost Per Patient,0.688,0.89,USD,Declining,At Industry Average
KPI00656,2024-08,Surgery,Revenue Per Patient,0.831,0.725,count,Volatile,At Industry Average
KPI00657,2024-08,Surgery,Treatment Success Rate,1.942,0.845,rate,Improving,At Industry Average
KPI00658,2024-08,Surgery,Patient Throughput,0.686,0.719,minutes,Declining,Above Industry Average
KPI00659,2024-08,Surgery,Overtime Hours,0.576,0.819,%,Stable,At Industry Average
KPI00660,2024-08,Surgery,Staff Turnover Rate,0.58,0.894,minutes,Volatile,At Industry Average
KPI00661,2024-08,Counseling,Average Wait Time,0.602,0.809,score,Volatile,At Industry Average
KPI00662,2024-08,Counseling,Patient Satisfaction Score,0.532,0.9,%,Stable,Above Industry Average
KPI00663,2024-08,Counseling,Equipment Utilization Rate,0.771,0.888,rate,Improving,Above Industry Average
KPI00664,2024-08,Counseling,Room Utilization Rate,0.461,0.831,%,Improving,Below Industry Average
KPI00665,2024-08,Counseling,Staff Productivity Score,1.426,0.901,rate,Stable,Above Industry Average
KPI00666,2024-08,Counseling,Appointment No-Show Rate,0.532,0.864,minutes,Improving,Above Industry Average
KPI00667,2024-08,Counseling,Cost Per Patient,,0.799,USD,Stable,Below Industry Average
KPI00668,2024-08,Counseling,Revenue Per Patient,0.586,0.767,count,Improving,Below Industry Average
KPI00669,2024-08,Counseling,Treatment Success Rate,0.53,0.925,%,Improving,Below Industry Average
KPI00670,2024-08,Counseling,Patient Throughput,0.936,0.748,%,Stable,Below Industry Average
KPI00671,2024-08,Counseling,Overtime Hours,0.753,0.872,rate,Improving,Above Industry Average
KPI00672,2024-08,Counseling,Staff Turnover Rate,0.555,0.897,USD,Declining,Above Industry Average
KPI00673,2024-09,Reproductive Endocrinology,Average Wait Time,0.528,0.707,score,Stable,Above Industry Average
KPI00674,2024-09,Reproductive Endocrinology,Patient Satisfaction Score,0.539,0.791,count,Improving,Above Industry Average
KPI00675,2024-09,Reproductive Endocrinology,Equipment Utilization Rate,0.784,0.777,%,Improving,Above Industry Average
KPI00676,2024-09,Reproductive Endocrinology,Room Utilization Rate,,0.807,%,Improving,At Industry Average
KPI00677,2024-09,Reproductive Endocrinology,Staff Productivity Score,0.708,0.797,count,Volatile,At Industry Average
KPI00678,2024-09,Reproductive Endocrinology,Appointment No-Show Rate,0.691,0.768,count,Stable,At Industry Average
KPI00679,2024-09,Reproductive Endocrinology,Cost Per Patient,,0.894,score,Declining,At Industry Average
KPI00680,2024-09,Reproductive Endocrinology,Revenue Per Patient,0.601,0.847,count,Improving,At Industry Average
KPI00681,2024-09,Reproductive Endocrinology,Treatment Success Rate,1.235,0.774,%,Declining,At Industry Average
KPI00682,2024-09,Reproductive Endocrinology,Patient Throughput,0.744,0.848,minutes,Volatile,Below Industry Average
KPI00683,2024-09,Reproductive Endocrinology,Overtime Hours,0.559,0.823,%,Improving,Above Industry Average
KPI00684,2024-09,Reproductive Endocrinology,Staff Turnover Rate,0.633,0.844,count,Improving,Below Industry Average
KPI00685,2024-09,Embryology Lab,Average Wait Time,0.474,0.848,USD,Stable,Below Industry Average
KPI00686,2024-09,Embryology Lab,Patient Satisfaction Score,0.648,0.749,minutes,Improving,At Industry Average
KPI00687,2024-09,Embryology Lab,Equipment Utilization Rate,,0.882,score,Stable,At Industry Average
KPI00688,2024-09,Embryology Lab,Room Utilization Rate,0.732,0.826,USD,Volatile,At Industry Average
KPI00689,2024-09,Embryology Lab,Staff Productivity Score,0.82,0.749,score,Volatile,Above Industry Average
KPI00690,2024-09,Embryology Lab,Appointment No-Show Rate,0.545,0.887,rate,Stable,At Industry Average
KPI00691,2024-09,Embryology Lab,Cost Per Patient,1.045,0.919,USD,Declining,Above Industry Average
KPI00692,2024-09,Embryology Lab,Revenue Per Patient,0.687,0.764,minutes,Declining,Above Industry Average
KPI00693,2024-09,Embryology Lab,Treatment Success Rate,0.535,0.914,score,Improving,Below Industry Average
KPI00694,2024-09,Embryology Lab,Patient Throughput,0.803,0.752,USD,Stable,At Industry Average
KPI00695,2024-09,Embryology Lab,Overtime Hours,0.467,0.869,rate,Improving,Above Industry Average
KPI00696,2024-09,Embryology Lab,Staff Turnover Rate,1.556,0.89,score,Stable,Below Industry Average
KPI00697,2024-09,Andrology,Average Wait Time,0.683,0.901,minutes,Volatile,At Industry Average
KPI00698,2024-09,Andrology,Patient Satisfaction Score,0.633,0.862,count,Stable,Below Industry Average
KPI00699,2024-09,Andrology,Equipment Utilization Rate,0.585,0.826,minutes,Stable,Above Industry Average
KPI00700,2024-09,Andrology,Room Utilization Rate,0.804,0.711,rate,Improving,Below Industry Average
KPI00701,2024-09,Andrology,Staff Productivity Score,0.691,0.802,%,Volatile,Below Industry Average
KPI00702,2024-09,Andrology,Appointment No-Show Rate,0.789,0.71,USD,Volatile,At Industry Average
KPI00703,2024-09,Andrology,Cost Per Patient,0.988,0.744,minutes,Improving,At Industry Average
KPI00704,2024-09,Andrology,Revenue Per Patient,0.829,0.853,minutes,Volatile,Above Industry Average
KPI00705,2024-09,Andrology,Treatment Success Rate,0.706,0.745,USD,Declining,Below Industry Average
KPI00706,2024-09,Andrology,Patient Throughput,0.638,0.929,%,Improving,At Industry Average
KPI00707,2024-09,Andrology,Overtime Hours,1.33,0.785,rate,Stable,Above Industry Average
KPI00708,2024-09,Andrology,Staff Turnover Rate,0.756,0.742,rate,Volatile,Below Industry Average
KPI00709,2024-09,Nursing,Average Wait Time,0.558,0.8,count,Volatile,Above Industry Average
KPI00710,2024-09,Nursing,Patient Satisfaction Score,0.728,0.795,minutes,Volatile,At Industry Average
KPI00711,2024-09,Nursing,Equipment Utilization Rate,0.515,0.774,score,Volatile,At Industry Average
KPI00712,2024-09,Nursing,Room Utilization Rate,1.762,0.733,%,Improving,Below Industry Average
KPI00713,2024-09,Nursing,Staff Productivity Score,1.803,0.847,%,Improving,Above Industry Average
KPI00714,2024-09,Nursing,Appointment No-Show Rate,0.792,0.755,score,Declining,Above Industry Average
KPI00715,2024-09,Nursing,Cost Per Patient,0.592,0.764,%,Stable,Below Industry Average
KPI00716,2024-09,Nursing,Revenue Per Patient,0.611,0.892,minutes,Stable,Below Industry Average
KPI00717,2024-09,Nursing,Treatment Success Rate,0.65,0.873,score,Volatile,Below Industry Average
KPI00718,2024-09,Nursing,Patient Throughput,0.523,0.934,USD,Stable,Above Industry Average
KPI00719,2024-09,Nursing,Overtime Hours,0.343,0.885,USD,Volatile,At Industry Average
KPI00720,2024-09,Nursing,Staff Turnover Rate,0.83,0.831,USD,Improving,Below Industry Average
KPI00721,2024-09,Ultrasound,Average Wait Time,0.575,0.905,%,Volatile,Below Industry Average
KPI00722,2024-09,Ultrasound,Patient Satisfaction Score,0.747,0.786,count,Stable,Below Industry Average
KPI00723,2024-09,Ultrasound,Equipment Utilization Rate,0.515,0.834,rate,Stable,At Industry Average
KPI00724,2024-09,Ultrasound,Room Utilization Rate,0.593,0.702,score,Volatile,Above Industry Average
KPI00725,2024-09,Ultrasound,Staff Productivity Score,0.539,0.873,%,Volatile,At Industry Average
KPI00726,2024-09,Ultrasound,Appointment No-Show Rate,0.743,0.757,score,Declining,Above Industry Average
KPI00727,2024-09,Ultrasound,Cost Per Patient,0.572,0.896,score,Declining,Above Industry Average
KPI00728,2024-09,Ultrasound,Revenue Per Patient,0.561,0.821,count,Stable,At Industry Average
KPI00729,2024-09,Ultrasound,Treatment Success Rate,0.611,0.836,%,Improving,Below Industry Average
KPI00730,2024-09,Ultrasound,Patient Throughput,0.552,0.904,minutes,Improving,Below Industry Average
KPI00731,2024-09,Ultrasound,Overtime Hours,0.812,0.875,rate,Improving,Above Industry Average
KPI00732,2024-09,Ultrasound,Staff Turnover Rate,0.635,0.944,score,Declining,Above Industry Average
